rank,title,recent_episode_rating,avg_rating,link
1,만취남녀,-,-,https://comic.naver.com/webtoon/list?titleId=846883
2,호랑이형님,-,-,https://comic.naver.com/webtoon/list?titleId=650305
3,시든 꽃에 눈물을,-,-,https://comic.naver.com/webtoon/list?titleId=827190
4,마도전생기,-,-,https://comic.naver.com/webtoon/list?titleId=807777
5,절대군림,-,-,https://comic.naver.com/webtoon/list?titleId=832677
6,오늘만 사는 기사,-,-,https://comic.naver.com/webtoon/list?titleId=824543
7,킬러 배드로,-,-,https://comic.naver.com/webtoon/list?titleId=816798
8,초인의 시대,-,-,https://comic.naver.com/webtoon/list?titleId=730694
9,데이워커,-,-,https://comic.naver.com/webtoon/list?titleId=828880
10,99강화나무몽둥이,-,-,https://comic.naver.com/webtoon/list?titleId=792651
11,아홉수 우리들,-,-,https://comic.naver.com/webtoon/list?titleId=724815
12,작전명 순정,-,-,https://comic.naver.com/webtoon/list?titleId=793275
13,디펜스 게임의 폭군이 되었다,-,-,https://comic.naver.com/webtoon/list?titleId=798182
14,종말에서 살아남기,-,-,https://comic.naver.com/webtoon/list?titleId=826321
15,멸망한 가문의 회귀자,-,-,https://comic.naver.com/webtoon/list?titleId=819946
16,망나니 소교주로 환생했다,-,-,https://comic.naver.com/webtoon/list?titleId=773796
17,용사파티만화,-,-,https://comic.naver.com/webtoon/list?titleId=842647
18,귀환했는데 입대 전날이다,-,-,https://comic.naver.com/webtoon/list?titleId=807393
19,둘째에게,-,-,https://comic.naver.com/webtoon/list?titleId=845711
20,중대장은 실망했다,-,-,https://comic.naver.com/webtoon/list?titleId=841639
21,연애지옥,-,-,https://comic.naver.com/webtoon/list?titleId=846650
22,나이트런,-,-,https://comic.naver.com/webtoon/list?titleId=64997
23,나를 바꿔줘,-,-,https://comic.naver.com/webtoon/list?titleId=733280
24,르르르,-,-,https://comic.naver.com/webtoon/list?titleId=844505
25,플레이어가 과거를 숨김,-,-,https://comic.naver.com/webtoon/list?titleId=811707
